,Name,total_y,total_pre_y
0,RW,94.0,104.20168231397057
1,RW,194.0,124.5738407979779
2,RW,151.0,116.57575072165383
3,RW,96.0,112.6354958804107
4,RW,132.0,110.85075537000846
5,RW,115.0,124.1412113139945
6,RW,90.0,90.79683286109362
7,RW,199.0,131.97346339244086
8,RW,197.0,125.56562733866654
9,Ryan,92.0,123.15018284031153
10,Ryan,94.0,107.81795756850401
11,Ryan,101.0,94.16947961819405
12,Ryan,96.0,95.56384657242128
13,Ryan,101.0,105.77374412712578
14,Ryan,92.0,100.18470673411763
15,Ryan,104.0,102.04865585027503
16,Ryan,94.0,78.4748319609236
17,Ryan,145.0,137.37704904972705
18,Ryan,139.0,121.88311300705224
19,Ryan,115.0,107.71234651323716
20,Silver,90.0,97.11462902214562
21,Silver,137.5,105.04175995056208
22,Silver,106.5,89.30805776397746
23,Silver,101.0,91.14861574634628
24,Tester B,212.0,167.79331538300863
25,Tester B,258.0,179.9086474595409
26,Tester B,257.5,153.75647523715617
27,Tester B,204.5,174.29606708307966
28,Tester B,383.0,345.28496594755023
29,Roger,96.5,70.52869302115013
30,Roger,153.5,129.67231612549605
31,Roger,130.5,109.37167871605159
32,Roger,136.0,109.54735018618466
33,Roger,111.0,83.85502790092558
34,Roger,156.5,128.23865670085016
35,Roger,109.0,140.96290758894546
36,Roger,112.0,105.89762976125424
37,Roger,93.0,86.78029861931498
38,Roger,163.5,126.06106287222396
39,Roger,136.0,138.59347177425414
40,Roger,120.0,138.26888138267677
41,Tester A,184.5,181.92161365340297
42,Tester A,195.0,164.68925715176695
43,Tester A,224.0,184.86752661130276
44,Tester A,247.0,199.99264966915734
45,Tester A,146.0,156.91757045063005
46,Tester A,183.0,186.68130895093074
47,Tester A,159.0,199.9343569993314
48,Alex,99.0,79.0369711762613
49,Alex,140.0,124.12962247384681
50,Alex,135.0,133.62622244881575
51,Alex,98.0,95.09087758819396
52,Alex,93.0,79.94959752977309
53,Alex,151.0,118.81829334918703
54,Alex,164.0,117.80609068506898
55,Alex,128.0,101.02854333143294
56,Gary,77.0,91.80731555652197
57,Gary,133.0,109.88503904150494
58,Gary,110.0,122.57629864423859
59,Gary,102.0,107.8713888357447
60,Gary,79.0,101.77059165047046
61,Gary,155.0,106.31729001206817
62,Gary,159.0,125.58338879014006
63,Gary,114.0,123.49575233138664
64,Tester E,136.0,154.85669561421273
65,Tester E,125.0,201.7546295901464
66,Tester E,168.0,155.32411512501037
67,Tester E,148.0,176.90779175936714
68,Tester E,214.0,185.79034072367344
69,Tester D,196.0,173.59060431936078
70,Tester D,203.0,193.47875979995865
71,Tester D,278.0,188.4830645351358
72,Tester D,228.0,185.97190338261473
73,Tester D,195.0,178.7190052329078
74,Tester B,253.5,173.64061060440469
75,Tester B,242.5,192.93289114305034
76,Tester B,266.0,181.52074681083965
77,Tester B,215.0,131.47870802601827
78,Tester B,139.5,149.5510302365711
79,Tester A,187.0,192.94800469950883
80,Tester A,281.0,224.08946694494344
81,Tester A,306.0,264.0311270353166
82,Tester A,258.0,201.5881009641131
83,Tester A,212.0,190.5633254276083
84,Tester A,186.0,203.84385643124136
85,Tester M,76.0,103.75712550754035
86,Tester M,113.0,91.47819058965912
87,Tester M,87.0,88.83932757166373
88,Tester M,81.0,85.88974009323015
89,Tester M,110.0,143.3361449730113
90,Tester M,111.0,102.7722791222997
91,Tester M,93.0,118.42686162416553
92,Tester A,221.0,197.89150065819803
93,Tester A,281.0,179.2137373092646
94,Tester A,287.0,182.90470157961917
95,Tester A,260.0,203.9988082870585
96,Tester A,263.0,201.0545337784212
97,Tester A,323.0,201.01308823117932
98,Nien,150.0,101.70497863441412
99,Nien,131.0,138.00209524882314
100,Nien,152.0,116.60987758516245
